,CustomerId,CustomerName,CustomerEmail,CustomerGender,CustomerContinent,CustomerCountry
0,4070,Roberta Lesch,Rodrick_Kassulke88@gmail.com,Female,Africa,Seychelles
1,2530,Adaline Hoeger,Vicky93@yahoo.com,Female,Asia,Qatar
2,2697,Yesenia Hahn,Linda48@gmail.com,Male,Africa,Cameroon
3,2405,Fern Stark,Eriberto5@yahoo.com,Female,North America,Guadeloupe
4,4394,Ronaldo Bashirian,Nicole56@hotmail.com,Male,Africa,Swaziland
5,2013,Moses Runolfsdottir,Polly99@hotmail.com,Male,North America,Costa Rica
6,396,Jared Purdy,Nicholaus77@hotmail.com,Female,Asia,Kuwait
7,4151,Minerva O'Kon,Daphne_Kessler@yahoo.com,Female,Asia,Kazakhstan
8,2987,Shana Beier,Valentine89@gmail.com,Female,Europe,Andorra
9,26,Tristin Bogan,Jaylen15@hotmail.com,Female,Africa,Tunisia
10,4205,Bernard West,Jakob_Wintheiser@gmail.com,Male,Europe,Hungary
11,1462,Rodrigo Swift,Jerome.VonRueden30@hotmail.com,Female,Europe,Luxembourg
12,705,Ena Roberts,Cornelius.Lakin88@hotmail.com,Female,Africa,Djibouti
13,2388,Miles McDermott,Joshuah_Cruickshank97@hotmail.com,Male,Africa,Guinea
14,4303,Rosalia Graham,Emory21@yahoo.com,Female,Africa,Gambia
15,4269,Olin Blanda,Chyna.Skiles@hotmail.com,Female,Asia,Jordan
16,2822,Rick Kunze,Reggie.Ruecker@yahoo.com,Female,Africa,Western Sahara
17,2271,Minnie Fadel,Cheyanne41@hotmail.com,Male,North America,"Bonaire, Saint Eustatius and Saba "
18,235,Vernie Labadie,Ima_Walker@yahoo.com,Male,Oceania,United States Minor Outlying Islands
19,2209,Rosina Ernser,Fae_Maggio38@hotmail.com,Male,Oceania,Solomon Islands
20,2854,Rebeka Kemmer,Glen.Hansen@hotmail.com,Male,Europe,Czech Republic
21,3832,Nora Howe,Jensen10@yahoo.com,Female,Asia,Japan
22,3539,Julian Zboncak,Andreanne_Champlin24@hotmail.com,Female,South America,Peru
23,3736,Jameson Murray,Lambert.Lesch@hotmail.com,Female,Oceania,Palau
24,3184,Alexane Weber,Josephine_Christiansen@yahoo.com,Female,North America,Curacao
25,4654,Alexane Mueller,Declan27@yahoo.com,Female,Europe,Gibraltar
26,3605,Erika Nolan,Marques.Boyer40@gmail.com,Female,Europe,Poland
27,4071,Darlene Powlowski,Michael32@hotmail.com,Female,Asia,Maldives
28,2764,Zena Farrell,Jevon.Hoppe@hotmail.com,Female,Oceania,Papua New Guinea
29,1707,Derrick Wilkinson,Maya.Zboncak47@gmail.com,Female,Oceania,United States Minor Outlying Islands
30,1376,Neoma Fritsch,Khalil89@gmail.com,Female,Europe,Ukraine
31,1756,Sienna Rodriguez,Abby.Dicki@gmail.com,Female,Europe,Sweden
32,306,Nadia Abshire,Antonio_Schroeder@gmail.com,Male,Asia,Kyrgyzstan
33,198,Daphnee Powlowski,Virginie.Bashirian@gmail.com,Male,Europe,Croatia
34,4346,Geovanny D'Amore,Nicola_Deckow33@hotmail.com,Male,Asia,Palestinian Territory
35,740,Jovany Towne,Gilbert_White@gmail.com,Female,North America,Greenland
36,1126,Nickolas Rau,Damian_Heaney@yahoo.com,Male,North America,Guadeloupe
37,2076,Hassie Dare,Don.Durgan@hotmail.com,Female,North America,Bermuda
38,2288,Isac Morar,Cristian_Parker@yahoo.com,Male,Asia,Syria
39,839,Betsy Brakus,Mariana_Wolff@yahoo.com,Female,Africa,Rwanda
40,3086,Frank Cummerata,Jake93@hotmail.com,Female,Asia,Israel
41,4192,Clarabelle Pfannerstill,Richmond_Schmidt13@gmail.com,Male,North America,Grenada
42,3580,Lupe Murray,Colton.Feil@yahoo.com,Male,Europe,Russia
43,1701,Henry Lynch,Lou88@gmail.com,Male,Asia,Syria
44,2903,Savanna Bartell,Zita82@hotmail.com,Female,South America,Paraguay
45,559,Kattie Botsford,Elliott17@yahoo.com,Female,Europe,Andorra
46,2997,Brooklyn Conroy,Logan_Boyle@yahoo.com,Male,Africa,Democratic Republic of the Congo
47,4120,Milton Oberbrunner,Herta49@gmail.com,Male,North America,Saint Kitts and Nevis
48,2126,Elda Walker,Enid_Hane15@yahoo.com,Male,Africa,Chad
49,1068,Gregoria Schroeder,Gertrude.Effertz@hotmail.com,Female,Africa,Central African Republic
50,497,Marlin Ebert,Brianne62@hotmail.com,Male,North America,Haiti
51,3810,Alycia Jones,Elise.Zulauf@gmail.com,Female,Oceania,Niue
52,933,Lacey Beer,Jacey_Russel@hotmail.com,Male,Africa,Uganda
53,3889,Layne Berge,Ryan79@hotmail.com,Female,Europe,Germany
54,3349,Stephan Schamberger,Josephine.Schuster@hotmail.com,Female,Europe,Monaco
55,4029,Ladarius Upton,Carole94@hotmail.com,Female,Africa,Madagascar
56,1418,Hal Hartmann,Anderson_Abshire@gmail.com,Male,South America,Venezuela
57,3491,Clementina Mayert,Pearlie_Rolfson@gmail.com,Male,Europe,Finland
58,1921,Chanel Haag,Hobart66@hotmail.com,Female,Africa,Libya
59,4196,Angelica Bradtke,Laisha_Towne@hotmail.com,Female,North America,Jamaica
60,2347,Gaston Hand,Elwin.Klein1@hotmail.com,Female,Asia,South Korea
61,1922,Mikayla Kovacek,Pattie_Kshlerin89@hotmail.com,Male,Africa,Mauritius
62,4411,Ima Wisozk,Charley.Bayer5@hotmail.com,Female,Asia,Yemen
63,2106,Jameson Tremblay,Mayra.Hodkiewicz@hotmail.com,Female,Europe,Isle of Man
64,4469,Jessyca Medhurst,Marta81@gmail.com,Male,Antarctica,Heard Island and McDonald Islands
